:END_ID,:START_ID,:TYPE
Q987319,Q26492790,subclass-of_DsoD
Q2141048,Q4339165,subclass-of_DsoD
Q18553789,Q18556320,subclass-of_DsoD
Q18556593,Q18555106,subclass-of_DsoD
Q18553439,Q18556748,subclass-of_DsoD
Q47912,Q1323002,subclass-of_DsoD
Q18556989,Q6473911,subclass-of_DsoD
Q18553785,Q5018774,subclass-of_DsoD
Q18555361,Q18554519,subclass-of_DsoD
Q4959796,Q18556053,subclass-of_DsoD
Q18553310,Q424258,subclass-of_DsoD
Q369157,Q6422092,subclass-of_DsoD
Q177755,Q18557252,subclass-of_DsoD
Q7860879,Q21097769,subclass-of_DsoD
Q929737,Q18968026,subclass-of_DsoD
Q18554019,Q706952,subclass-of_DsoD
Q18554893,Q5957519,subclass-of_DsoD
Q1137767,Q18553593,subclass-of_DsoD
Q18553247,Q18554372,subclass-of_DsoD
Q18553403,Q587420,subclass-of_DsoD
Q18554099,Q18553200,subclass-of_DsoD
Q18554878,Q16887028,subclass-of_DsoD
Q11081,Q369157,subclass-of_DsoD
Q1504713,Q28065646,subclass-of_DsoD
Q938205,Q18556540,subclass-of_DsoD
Q3184856,Q18557041,subclass-of_DsoD
Q18553440,Q14917216,subclass-of_DsoD
Q681817,Q18557783,subclass-of_DsoD
Q1928978,Q1759514,subclass-of_DsoD
Q18554999,Q18975658,subclass-of_DsoD
Q1527888,Q18556410,subclass-of_DsoD
Q3296793,Q18554643,subclass-of_DsoD
Q18553310,Q18555169,subclass-of_DsoD
Q847057,Q18557536,subclass-of_DsoD
Q18553402,Q27677665,subclass-of_DsoD
Q18555254,Q18553674,subclass-of_DsoD
Q18553672,Q18557557,subclass-of_DsoD
Q949302,Q864028,subclass-of_DsoD
Q179630,Q18553386,subclass-of_DsoD
Q7204732,Q18553904,subclass-of_DsoD
Q18557525,Q18557093,subclass-of_DsoD
Q1054718,Q18557243,subclass-of_DsoD
Q18554657,Q18556027,subclass-of_DsoD
Q18553680,Q18556969,subclass-of_DsoD
Q18557121,Q1047559,subclass-of_DsoD
Q18556740,Q133780,subclass-of_DsoD
Q18557655,Q344873,subclass-of_DsoD
Q192102,Q551085,subclass-of_DsoD
Q1178507,Q1752571,subclass-of_DsoD
Q28024517,Q18557875,subclass-of_DsoD
Q504775,Q18556557,subclass-of_DsoD
Q134003,Q27677583,subclass-of_DsoD
Q1362453,Q27674936,subclass-of_DsoD
Q128581,Q18968203,subclass-of_DsoD
Q576349,Q1859754,subclass-of_DsoD
Q6673122,Q767327,subclass-of_DsoD
Q18556198,Q18553844,subclass-of_DsoD
Q18556002,Q18557862,subclass-of_DsoD
Q18555947,Q18556998,subclass-of_DsoD
Q229256,Q18555947,subclass-of_DsoD
Q18556729,Q1862805,subclass-of_DsoD
Q359892,Q27674820,subclass-of_DsoD
Q2936205,Q18553549,subclass-of_DsoD
Q177755,Q280156,subclass-of_DsoD
Q3242950,Q2851545,subclass-of_DsoD
Q1321884,Q18975788,subclass-of_DsoD
Q1628473,Q1327842,subclass-of_DsoD
Q18553644,Q1250362,subclass-of_DsoD
Q1678281,Q18556886,subclass-of_DsoD
Q18555939,Q18554797,subclass-of_DsoD
Q18556902,Q18554571,subclass-of_DsoD
Q18555947,Q7451019,subclass-of_DsoD
Q18555014,Q18557600,subclass-of_DsoD
Q727096,Q18556390,subclass-of_DsoD
Q1137767,Q18557126,subclass-of_DsoD
Q751641,Q2143688,subclass-of_DsoD
Q280027,Q18394840,subclass-of_DsoD
Q18556113,Q18554400,subclass-of_DsoD
Q18558086,Q2657784,subclass-of_DsoD
Q1549421,Q18557299,subclass-of_DsoD
Q18553310,Q4943512,subclass-of_DsoD
Q271759,Q27677763,subclass-of_DsoD
Q2273662,Q2087205,subclass-of_DsoD
Q3041498,Q6743502,subclass-of_DsoD
Q18554651,Q18556773,subclass-of_DsoD
Q18556656,Q388722,subclass-of_DsoD
Q369157,Q18553292,subclass-of_DsoD
Q18556342,Q3508566,subclass-of_DsoD
Q270673,Q4876717,subclass-of_DsoD
Q264118,Q18554762,subclass-of_DsoD
Q18553440,Q1425185,subclass-of_DsoD
Q18557957,Q2556242,subclass-of_DsoD
Q675311,Q18556946,subclass-of_DsoD
Q1138590,Q18555276,subclass-of_DsoD
Q18558092,Q18556385,subclass-of_DsoD
Q18557572,Q3676446,subclass-of_DsoD
Q18556111,Q18555962,subclass-of_DsoD
Q949302,Q18554708,subclass-of_DsoD
Q153861,Q28065612,subclass-of_DsoD
Q1334408,Q27698000,subclass-of_DsoD
Q1137767,Q18555959,subclass-of_DsoD
Q187440,Q1583485,subclass-of_DsoD
Q3678510,Q27674823,subclass-of_DsoD
Q220570,Q18554226,subclass-of_DsoD
Q18556754,Q134649,subclass-of_DsoD
Q1446169,Q18553893,subclass-of_DsoD
Q18556619,Q18554828,subclass-of_DsoD
Q1981276,Q18555995,subclass-of_DsoD
Q18211751,Q3501498,subclass-of_DsoD
Q18553309,Q18557298,subclass-of_DsoD
Q18555003,Q132971,subclass-of_DsoD
Q1827425,Q7259546,subclass-of_DsoD
Q3658380,Q18554982,subclass-of_DsoD
Q18554263,Q18556174,subclass-of_DsoD
Q1928978,Q212961,subclass-of_DsoD
Q935293,Q7235947,subclass-of_DsoD
Q18553439,Q18557544,subclass-of_DsoD
Q861028,Q422225,subclass-of_DsoD
Q912796,Q1816041,subclass-of_DsoD
Q18556059,Q18965511,subclass-of_DsoD
Q1570013,Q18556853,subclass-of_DsoD
Q18556326,Q5319350,subclass-of_DsoD
Q1755122,Q18553723,subclass-of_DsoD
Q18553634,Q18554075,subclass-of_DsoD
Q538432,Q18556403,subclass-of_DsoD
Q7705854,Q7632070,subclass-of_DsoD
Q18553439,Q21505509,subclass-of_DsoD
Q18556654,Q1286320,subclass-of_DsoD
Q175827,Q1505689,subclass-of_DsoD
Q5062122,Q18555262,subclass-of_DsoD
Q18555296,Q18557289,subclass-of_DsoD
Q18553438,Q7206990,subclass-of_DsoD
Q18553247,Q18553446,subclass-of_DsoD
Q692536,Q18553565,subclass-of_DsoD
Q18557630,Q18557683,subclass-of_DsoD
Q154709,Q27677741,subclass-of_DsoD
Q1364270,Q18557917,subclass-of_DsoD
Q18554961,Q950591,subclass-of_DsoD
Q182413,Q1526459,subclass-of_DsoD
Q3041498,Q26489802,subclass-of_DsoD
Q3281254,Q2298953,subclass-of_DsoD
Q18555240,Q3508649,subclass-of_DsoD
Q8084905,Q27677653,subclass-of_DsoD
Q18556582,Q18554531,subclass-of_DsoD
Q272741,Q18557841,subclass-of_DsoD
Q18556206,Q18556698,subclass-of_DsoD
Q830308,Q3508669,subclass-of_DsoD
Q1141499,Q362719,subclass-of_DsoD
Q7900616,Q2348105,subclass-of_DsoD
Q3242950,Q28024548,subclass-of_DsoD
Q18558092,Q18557172,subclass-of_DsoD
Q18556832,Q18555361,subclass-of_DsoD
Q18556249,Q1087232,subclass-of_DsoD
Q18553363,Q18553517,subclass-of_DsoD
Q7799620,Q27677767,subclass-of_DsoD
Q18553645,Q28024633,subclass-of_DsoD
Q18975658,Q18554319,subclass-of_DsoD
Q133772,Q1641332,subclass-of_DsoD
Q18555323,Q531019,subclass-of_DsoD
Q18556940,Q19121038,subclass-of_DsoD
Q18742,Q18556002,subclass-of_DsoD
Q18557178,Q18553788,subclass-of_DsoD
Q28065591,Q5957980,subclass-of_DsoD
Q1544416,Q18555996,subclass-of_DsoD
Q18557436,Q18555396,subclass-of_DsoD
Q6691991,Q18555063,subclass-of_DsoD
Q18553616,Q2309612,subclass-of_DsoD
Q18554878,Q18554857,subclass-of_DsoD
Q18554460,Q1048084,subclass-of_DsoD
Q11085,Q2002586,subclass-of_DsoD
Q1815985,Q18557389,subclass-of_DsoD
Q1504713,Q1088156,subclass-of_DsoD
Q18557131,Q200781,subclass-of_DsoD
Q179630,Q4119259,subclass-of_DsoD
Q18555019,Q18557724,subclass-of_DsoD
Q949302,Q203696,subclass-of_DsoD
Q221472,Q2892779,subclass-of_DsoD
Q18556131,Q840004,subclass-of_DsoD
Q12078,Q18556120,subclass-of_DsoD
Q2608695,Q18553556,subclass-of_DsoD
Q1194557,Q18553504,subclass-of_DsoD
Q1890194,Q720032,subclass-of_DsoD
Q18553785,Q18554101,subclass-of_DsoD
Q7200296,Q26492832,subclass-of_DsoD
Q1690779,Q17010894,subclass-of_DsoD
Q18556029,Q28065640,subclass-of_DsoD
Q18555926,Q28026070,subclass-of_DsoD
Q949302,Q5571234,subclass-of_DsoD
Q500695,Q7144437,subclass-of_DsoD
Q5532415,Q371520,subclass-of_DsoD
Q165328,Q3136521,subclass-of_DsoD
Q1755122,Q3357479,subclass-of_DsoD
Q18966465,Q18556751,subclass-of_DsoD
Q1538213,Q4737958,subclass-of_DsoD
Q1870975,Q2938089,subclass-of_DsoD
Q3598794,Q18556969,subclass-of_DsoD
Q18965518,Q18553775,subclass-of_DsoD
Q7199538,Q18556693,subclass-of_DsoD
Q777087,Q18554637,subclass-of_DsoD
Q12135,Q18555952,subclass-of_DsoD
Q5182126,Q326071,subclass-of_DsoD
Q7574983,Q18558166,subclass-of_DsoD
Q17152566,Q18557448,subclass-of_DsoD
Q27164421,Q18554028,subclass-of_DsoD
Q12152,Q18554513,subclass-of_DsoD
Q18555344,Q18557723,subclass-of_DsoD
Q283656,Q200985,subclass-of_DsoD
Q193003,Q8041560,subclass-of_DsoD
Q3493413,Q18557960,subclass-of_DsoD
Q18557373,Q18554734,subclass-of_DsoD
Q18554306,Q18554861,subclass-of_DsoD
Q578994,Q28024549,subclass-of_DsoD
Q18553772,Q1531324,subclass-of_DsoD
Q4682245,Q18557075,subclass-of_DsoD
Q18554319,Q27164446,subclass-of_DsoD
Q1476525,Q7059204,subclass-of_DsoD
Q18555055,Q1423177,subclass-of_DsoD
Q1928978,Q21505487,subclass-of_DsoD
Q729735,Q18553273,subclass-of_DsoD
Q203696,Q1077603,subclass-of_DsoD
Q18555084,Q2058941,subclass-of_DsoD
Q18556017,Q18553250,subclass-of_DsoD
Q18554452,Q2096745,subclass-of_DsoD
Q1364270,Q21124574,subclass-of_DsoD
Q26492838,Q751261,subclass-of_DsoD
Q3702898,Q18556956,subclass-of_DsoD
Q2989168,Q27677642,subclass-of_DsoD
Q11688946,Q18557858,subclass-of_DsoD
Q369157,Q2681162,subclass-of_DsoD
Q2038371,Q1327273,subclass-of_DsoD
Q101896,Q18554991,subclass-of_DsoD
Q18554854,Q929221,subclass-of_DsoD
Q1928978,Q183548,subclass-of_DsoD
Q18557617,Q160653,subclass-of_DsoD
Q1344812,Q18556498,subclass-of_DsoD
Q18553309,Q3801522,subclass-of_DsoD
Q18558150,Q953638,subclass-of_DsoD
Q860740,Q186470,subclass-of_DsoD
Q1318384,Q1153641,subclass-of_DsoD
Q18975562,Q18555334,subclass-of_DsoD
Q18553247,Q18556560,subclass-of_DsoD
Q6881881,Q18557616,subclass-of_DsoD
Q246070,Q18554546,subclass-of_DsoD
Q16918398,Q1125160,subclass-of_DsoD
Q727096,Q18557518,subclass-of_DsoD
Q1641042,Q18557417,subclass-of_DsoD
Q179630,Q18558252,subclass-of_DsoD
Q18555015,Q18556707,subclass-of_DsoD
Q23037745,Q18556702,subclass-of_DsoD
Q18553796,Q18557952,subclass-of_DsoD
Q4667534,Q18555929,subclass-of_DsoD
Q42844,Q3667186,subclass-of_DsoD
Q18556502,Q18555946,subclass-of_DsoD
Q4682249,Q1365937,subclass-of_DsoD
Q18557436,Q18553810,subclass-of_DsoD
Q18555150,Q18556362,subclass-of_DsoD
Q18971552,Q18553283,subclass-of_DsoD
Q18554668,Q28024523,subclass-of_DsoD
Q18558225,Q18555954,subclass-of_DsoD
Q5182126,Q18555953,subclass-of_DsoD
Q4340209,Q556281,subclass-of_DsoD
Q183130,Q18556040,subclass-of_DsoD
Q13566985,Q3145111,subclass-of_DsoD
Q18556211,Q18553441,subclass-of_DsoD
Q3281259,Q18556227,subclass-of_DsoD
Q1543446,Q18556287,subclass-of_DsoD
Q3251367,Q18554814,subclass-of_DsoD
Q18556748,Q18554854,subclass-of_DsoD
Q18554962,Q1066265,subclass-of_DsoD
Q153861,Q18556158,subclass-of_DsoD
Q33525,Q427810,subclass-of_DsoD
Q3334995,Q1639178,subclass-of_DsoD
Q942755,Q18558204,subclass-of_DsoD
Q1332427,Q18556831,subclass-of_DsoD
Q18555132,Q746001,subclass-of_DsoD
Q18558262,Q18556321,subclass-of_DsoD
Q4941552,Q18558039,subclass-of_DsoD
Q272741,Q18554450,subclass-of_DsoD
Q187440,Q26492786,subclass-of_DsoD
Q18556930,Q18654,subclass-of_DsoD
Q18553357,Q18553717,subclass-of_DsoD
Q1502312,Q18553870,subclass-of_DsoD
Q18965518,Q18557635,subclass-of_DsoD
Q16918398,Q1516211,subclass-of_DsoD
Q18556586,Q27677597,subclass-of_DsoD
Q179630,Q18556770,subclass-of_DsoD
Q21154080,Q18557818,subclass-of_DsoD
Q18553247,Q18556232,subclass-of_DsoD
Q5062122,Q3508592,subclass-of_DsoD
Q8041560,Q18554808,subclass-of_DsoD
Q544006,Q539681,subclass-of_DsoD
Q47912,Q21097867,subclass-of_DsoD
Q18555006,Q18554580,subclass-of_DsoD
Q18553331,Q18553191,subclass-of_DsoD
Q373822,Q18556726,subclass-of_DsoD
Q18555048,Q1342955,subclass-of_DsoD
Q18556767,Q18557560,subclass-of_DsoD
Q1585743,Q458138,subclass-of_DsoD
Q12152,Q18556672,subclass-of_DsoD
Q300121,Q18557836,subclass-of_DsoD
Q18556193,Q18551037,subclass-of_DsoD
Q21154081,Q18558176,subclass-of_DsoD
Q18555315,Q3743188,subclass-of_DsoD
Q18553651,Q1538277,subclass-of_DsoD
Q18555993,Q543517,subclass-of_DsoD
Q223911,Q27674739,subclass-of_DsoD
Q1963588,Q18553452,subclass-of_DsoD
Q200779,Q18556228,subclass-of_DsoD
Q767485,Q3570558,subclass-of_DsoD
Q18555090,Q26492824,subclass-of_DsoD
Q4667534,Q18555054,subclass-of_DsoD
Q3281259,Q26492826,subclass-of_DsoD
Q1201835,Q409030,subclass-of_DsoD
Q9274700,Q18553851,subclass-of_DsoD
Q6931140,Q28065630,subclass-of_DsoD
Q18555070,Q18556792,subclass-of_DsoD
Q229256,Q18553311,subclass-of_DsoD
Q268667,Q18553811,subclass-of_DsoD
Q18555951,Q4830470,subclass-of_DsoD
Q1047559,Q18553834,subclass-of_DsoD
Q847057,Q18557203,subclass-of_DsoD
Q15051314,Q18553359,subclass-of_DsoD
Q4667534,Q15043641,subclass-of_DsoD
Q18557364,Q2089854,subclass-of_DsoD
Q18556697,Q221668,subclass-of_DsoD
Q206901,Q18554680,subclass-of_DsoD
Q1153641,Q28149903,subclass-of_DsoD
Q1157761,Q1529983,subclass-of_DsoD
Q1410808,Q28024525,subclass-of_DsoD
Q4057496,Q2739660,subclass-of_DsoD
Q18558033,Q18554197,subclass-of_DsoD
Q949302,Q5958765,subclass-of_DsoD
Q264118,Q133696,subclass-of_DsoD
Q18555254,Q21097859,subclass-of_DsoD
Q1209150,Q18556507,subclass-of_DsoD
Q18968230,Q3508606,subclass-of_DsoD
Q418418,Q1140528,subclass-of_DsoD
Q3041498,Q681970,subclass-of_DsoD
Q18556400,Q18555279,subclass-of_DsoD
Q745550,Q18558071,subclass-of_DsoD
Q18556927,Q23037745,subclass-of_DsoD
Q550455,Q1758283,subclass-of_DsoD
Q18556871,Q18556180,subclass-of_DsoD
Q19000577,Q5062153,subclass-of_DsoD
Q18553213,Q16957524,subclass-of_DsoD
Q33525,Q1786953,subclass-of_DsoD
Q18554971,Q18556919,subclass-of_DsoD
Q2936213,Q17094243,subclass-of_DsoD
Q18553440,Q18557722,subclass-of_DsoD
Q18557114,Q5104958,subclass-of_DsoD
Q18556127,Q18557709,subclass-of_DsoD
Q611571,Q7484623,subclass-of_DsoD
Q33525,Q18553198,subclass-of_DsoD
Q18555090,Q18556742,subclass-of_DsoD
Q18553959,Q18556556,subclass-of_DsoD
Q18556834,Q18553821,subclass-of_DsoD
Q6725785,Q3331456,subclass-of_DsoD
Q3658380,Q18966185,subclass-of_DsoD
Q18556942,Q18555986,subclass-of_DsoD
Q15802235,Q18554118,subclass-of_DsoD
Q18555936,Q18553875,subclass-of_DsoD
Q847057,Q506659,subclass-of_DsoD
Q18968203,Q1327700,subclass-of_DsoD
Q1485,Q28024750,subclass-of_DsoD
Q6673122,Q933716,subclass-of_DsoD
Q18553439,Q18554451,subclass-of_DsoD
Q709360,Q21505518,subclass-of_DsoD
Q18556400,Q18554258,subclass-of_DsoD
Q18557159,Q28065623,subclass-of_DsoD
Q5442760,Q5432932,subclass-of_DsoD
Q18553644,Q18553527,subclass-of_DsoD
Q18555014,Q18556552,subclass-of_DsoD
Q177190,Q6043263,subclass-of_DsoD
Q18554545,Q582904,subclass-of_DsoD
Q18556206,Q18554956,subclass-of_DsoD
Q18553504,Q18555258,subclass-of_DsoD
Q133780,Q18556630,subclass-of_DsoD
Q179630,Q186235,subclass-of_DsoD
Q18553643,Q18553786,subclass-of_DsoD
Q12202,Q18556735,subclass-of_DsoD
Q18553309,Q18555223,subclass-of_DsoD
Q724714,Q18557284,subclass-of_DsoD
Q6708237,Q243257,subclass-of_DsoD
Q844935,Q1363732,subclass-of_DsoD
Q940874,Q27677612,subclass-of_DsoD
Q18558199,Q18557522,subclass-of_DsoD
Q27429766,Q18554303,subclass-of_DsoD
Q2912193,Q21154062,subclass-of_DsoD
Q32446,Q5168503,subclass-of_DsoD
Q938205,Q18553815,subclass-of_DsoD
Q18968230,Q18556689,subclass-of_DsoD
Q181257,Q18554952,subclass-of_DsoD
Q819207,Q18556586,subclass-of_DsoD
Q3493413,Q18555255,subclass-of_DsoD
Q949302,Q18554356,subclass-of_DsoD
Q18556396,Q6007089,subclass-of_DsoD
Q432396,Q418418,subclass-of_DsoD
Q6708237,Q18557413,subclass-of_DsoD
Q1749931,Q18553414,subclass-of_DsoD
Q18555161,Q18553459,subclass-of_DsoD
Q283656,Q11491562,subclass-of_DsoD
Q18557550,Q3108583,subclass-of_DsoD
Q178059,Q28020303,subclass-of_DsoD
Q18554821,Q190370,subclass-of_DsoD
Q18558086,Q18557364,subclass-of_DsoD
Q1956782,Q7168876,subclass-of_DsoD
Q18553439,Q18556192,subclass-of_DsoD
Q556281,Q7248833,subclass-of_DsoD
Q18555392,Q18556923,subclass-of_DsoD
Q3251367,Q23037755,subclass-of_DsoD
Q18555244,Q18556999,subclass-of_DsoD
Q369157,Q27674809,subclass-of_DsoD
Q1164529,Q18554920,subclass-of_DsoD
Q8084905,Q18554471,subclass-of_DsoD
Q300121,Q18556262,subclass-of_DsoD
Q1827425,Q18965537,subclass-of_DsoD
Q1963588,Q18557372,subclass-of_DsoD
Q18556244,Q21154082,subclass-of_DsoD
Q929737,Q18556288,subclass-of_DsoD
Q41861,Q18553797,subclass-of_DsoD
Q272741,Q18554569,subclass-of_DsoD
Q3055380,Q19000786,subclass-of_DsoD
Q18555366,Q18554961,subclass-of_DsoD
Q184559,Q18555400,subclass-of_DsoD
Q935710,Q18554298,subclass-of_DsoD
Q899726,Q2163245,subclass-of_DsoD
Q167178,Q18553806,subclass-of_DsoD
Q18554657,Q6533263,subclass-of_DsoD
Q1928978,Q771310,subclass-of_DsoD
Q131742,Q21097864,subclass-of_DsoD
Q18553655,Q17067160,subclass-of_DsoD
Q193078,Q3768153,subclass-of_DsoD
Q18556047,Q18557469,subclass-of_DsoD
Q179630,Q18556502,subclass-of_DsoD
Q18556080,Q379054,subclass-of_DsoD
Q15715457,Q18553765,subclass-of_DsoD
Q18556900,Q6692756,subclass-of_DsoD
Q2070842,Q21154067,subclass-of_DsoD
Q1786953,Q1529650,subclass-of_DsoD
Q129279,Q2165663,subclass-of_DsoD
Q7315926,Q18556045,subclass-of_DsoD
Q680873,Q18557220,subclass-of_DsoD
Q18556438,Q18556111,subclass-of_DsoD
Q18556845,Q18554662,subclass-of_DsoD
Q605006,Q18556481,subclass-of_DsoD
Q5521151,Q18553545,subclass-of_DsoD
Q1963588,Q2059267,subclass-of_DsoD
Q2627467,Q18557169,subclass-of_DsoD
Q4139987,Q10863066,subclass-of_DsoD
Q18555918,Q18556454,subclass-of_DsoD
Q18557030,Q18557903,subclass-of_DsoD
Q3147703,Q18555236,subclass-of_DsoD
Q23037762,Q202837,subclass-of_DsoD
Q134003,Q18556549,subclass-of_DsoD
Q182413,Q18556204,subclass-of_DsoD
Q18556333,Q27677770,subclass-of_DsoD
Q18553609,Q18558264,subclass-of_DsoD
Q18553959,Q5582043,subclass-of_DsoD
Q18553610,Q18553626,subclass-of_DsoD
Q18556800,Q18557258,subclass-of_DsoD
Q18553665,Q18554578,subclass-of_DsoD
Q18553363,Q18557168,subclass-of_DsoD
Q27429766,Q18554478,subclass-of_DsoD
Q3508794,Q18557413,subclass-of_DsoD
Q18555001,Q18553802,subclass-of_DsoD
Q579527,Q1641042,subclass-of_DsoD
Q727096,Q18555137,subclass-of_DsoD
Q18554942,Q460167,subclass-of_DsoD
Q179630,Q6489151,subclass-of_DsoD
Q4826996,Q23037762,subclass-of_DsoD
Q1752571,Q8041560,subclass-of_DsoD
Q181391,Q18553737,subclass-of_DsoD
Q18555918,Q991538,subclass-of_DsoD
Q4826996,Q1410831,subclass-of_DsoD
Q18553500,Q1076078,subclass-of_DsoD
Q18555926,Q27677689,subclass-of_DsoD
Q193894,Q18555002,subclass-of_DsoD
Q18557768,Q18554043,subclass-of_DsoD
Q359892,Q18558018,subclass-of_DsoD
Q18553363,Q18553217,subclass-of_DsoD
Q899726,Q3269466,subclass-of_DsoD
Q18556209,Q5259533,subclass-of_DsoD
Q200779,Q3136522,subclass-of_DsoD
Q5201177,Q204176,subclass-of_DsoD
Q18558086,Q18554702,subclass-of_DsoD
Q1049881,Q18557025,subclass-of_DsoD
Q18556028,Q18557819,subclass-of_DsoD
Q2421435,Q2064603,subclass-of_DsoD
Q18556806,Q8071861,subclass-of_DsoD
Q1362453,Q18556211,subclass-of_DsoD
Q160105,Q27674921,subclass-of_DsoD
Q2058941,Q27677590,subclass-of_DsoD
Q2736268,Q18557164,subclass-of_DsoD
Q949302,Q18557981,subclass-of_DsoD
Q738170,Q18553684,subclass-of_DsoD
Q33525,Q18553572,subclass-of_DsoD
Q1361346,Q27677656,subclass-of_DsoD
Q33525,Q18556860,subclass-of_DsoD
Q128581,Q18553825,subclass-of_DsoD
Q3355380,Q27674835,subclass-of_DsoD
Q229256,Q18553501,subclass-of_DsoD
Q18553647,Q2825480,subclass-of_DsoD
Q8041560,Q18557121,subclass-of_DsoD
Q18556531,Q22251836,subclass-of_DsoD
Q127724,Q18557886,subclass-of_DsoD
Q3269466,Q3907636,subclass-of_DsoD
Q1058691,Q18553908,subclass-of_DsoD
Q27429766,Q18553238,subclass-of_DsoD
Q18557376,Q1246050,subclass-of_DsoD
Q18553502,Q18966140,subclass-of_DsoD
Q18555061,Q18555349,subclass-of_DsoD
Q18553310,Q1004647,subclass-of_DsoD
Q769815,Q7900616,subclass-of_DsoD
Q166102,Q18557487,subclass-of_DsoD
Q18556047,Q3273331,subclass-of_DsoD
Q18557307,Q18553357,subclass-of_DsoD
Q1862031,Q18557209,subclass-of_DsoD
Q2619091,Q8280,subclass-of_DsoD
