:ID,identifier:String,name:String,:LABEL
Q4847907,Q4847907,Cholinergic receptor muscarinic 4,Protein
Q4847910,Q4847910,Cholinergic receptor muscarinic 2,Protein
Q18211944,Q18211944,Q18211944,Compound
Q416649,Q416649,potassium mercuric iodide,Compound
Q1969116,Q1969116,cadmium tungstate,Compound
Q41112,Q41112,schizophrenia,Disease
Q2157462,Q2157462,schizophreniform disorder,Disease
Q21130460,Q21130460,Methionyl aminopeptidase 2,Protein
Q219037,Q219037,lithium hexamethyldisilazide,Compound
Q208414,Q208414,lymphoma,Disease
Q1891209,Q1891209,mycosis fungoides,Disease
Q18557991,Q18557991,"Hodgkin's lymphoma, mixed cellularity",Disease
Q418011,Q418011,mechlorethamine,Compound
Q12746120,Q12746120,Cholinergic receptor muscarinic 5,Protein
Q18211728,Q18211728,magnesium selenide,Compound
Q36956,Q36956,leprosy,Disease
Q1526459,Q1526459,pyoderma gangrenosum,Disease
Q4944687,Q4944687,borderline leprosy,Disease
Q6527832,Q6527832,lepromatous leprosy,Disease
Q6946984,Q6946984,Mycobacterium avium complex disease,Disease
Q8277,Q8277,multiple sclerosis,Disease
Q190564,Q190564,Huntington's disease,Disease
Q1266890,Q1266890,vascular disease,Disease
Q1132120,Q1132120,trigeminal neuralgia,Disease
Q2000072,Q2000072,spondylolysis,Disease
Q2339038,Q2339038,neurogenic bladder,Disease
Q18553982,Q18553982,spastic monoplegia,Disease
Q18556900,Q18556900,spinal cancer,Disease
Q408470,Q408470,niobium dioxide,Compound
Q15627955,Q15627955,Q15627955,Compound
Q23767,Q23767,calcium carbonate,Compound
Q172941,Q172941,peptic ulcer disease,Disease
Q223591,Q223591,gastroesophageal reflux disease,Disease
Q653971,Q653971,dyspepsia,Disease
Q736715,Q736715,chronic kidney disease,Disease
Q18553940,Q18553940,gastric ulcer,Disease
Q18554653,Q18554653,peptic esophagitis,Disease
Q18968110,Q18968110,duodenal ulcer,Disease
Q2331023,Q2331023,indium sulfate,Compound
Q2663095,Q2663095,Nuclear receptor subfamily 3 group C member 1,Protein
Q15628087,Q15628087,Q15628087,Compound
Q29496,Q29496,leukemia,Disease
Q21121086,Q21121086,Solute carrier family 46 member 1,Protein
Q21126218,Q21126218,Solute carrier family 19 member 1,Protein
Q189588,Q189588,stomach cancer,Disease
Q324464,Q324464,testicular cancer,Disease
Q861224,Q861224,juvenile rheumatoid arthritis,Disease
Q4676432,Q4676432,pustulosis of palm and sole,Disease
Q18975720,Q18975720,trophoblastic neoplasm,Disease
Q18975788,Q18975788,spindle cell sarcoma,Disease
Q419619,Q419619,calcium bisulfite,Compound
Q18212136,Q18212136,Q18212136,Compound
Q334655,Q334655,amenorrhea,Disease
Q183344,Q183344,sinusitis,Disease
Q186470,Q186470,tonsillitis,Disease
Q153356,Q153356,chlamydia,Disease
Q680873,Q680873,otitis externa,Disease
Q1344812,Q1344812,epididymitis,Disease
Q1628473,Q1628473,corneal ulcer,Disease
Q18554096,Q18554096,suppurative otitis media,Disease
Q18555243,Q18555243,pulmonary tuberculosis,Disease
Q26695607,Q26695607,arterial occlusive disease,Disease
Q21109365,Q21109365,5-hydroxytryptamine receptor 4,Protein
Q4445850,Q4445850,Q4445850,Compound
Q4363460,Q4363460,calcium pyrophosphate,Compound
Q170990,Q170990,arthritis,Disease
Q15628168,Q15628168,Q15628168,Compound
Q17334745,Q17334745,trifluoro(isocyanato)silane,Compound
Q7673856,Q7673856,Tachykinin receptor 1,Protein
Q21123087,Q21123087,Tachykinin receptor 3,Protein
Q287961,Q287961,Adrenoceptor beta 2,Protein
Q4897175,Q4897175,Adrenoceptor beta 3,Protein
Q21010321,Q21010321,Q21010321,Compound
Q309513,Q309513,Histamine receptor H1,Protein
Q21115043,Q21115043,5-hydroxytryptamine receptor 1A,Protein
Q415512,Q415512,Indium(III) selenide,Compound
Q15628164,Q15628164,Q15628164,Compound
Q4332876,Q4332876,Q4332876,Compound
Q5512777,Q5512777,Gamma-aminobutyric acid type A receptor alpha4 subunit,Protein
Q21113292,Q21113292,Gamma-aminobutyric acid type A receptor rho3 subunit (gene/pseudogene),Protein
Q21113297,Q21113297,Gamma-aminobutyric acid type A receptor delta subunit,Protein
Q21113310,Q21113310,Gamma-aminobutyric acid type A receptor rho1 subunit,Protein
Q21113313,Q21113313,Gamma-aminobutyric acid type A receptor rho2 subunit,Protein
Q21114576,Q21114576,Gamma-aminobutyric acid type A receptor alpha5 subunit,Protein
Q21114578,Q21114578,Gamma-aminobutyric acid type A receptor alpha3 subunit,Protein
Q21114582,Q21114582,Gamma-aminobutyric acid type A receptor alpha2 subunit,Protein
Q21114585,Q21114585,Gamma-aminobutyric acid type A receptor alpha6 subunit,Protein
Q1025288,Q1025288,cadmium carbonate,Compound
Q416336,Q416336,Serpin family C member 1,Protein
Q411305,Q411305,chlorine trifluoride,Compound
Q416035,Q416035,mercuric thiocyanate,Compound
Q10369545,Q10369545,Potassium selenocyanate,Compound
Q21109218,Q21109218,"B-Raf proto-oncogene, serine/threonine kinase",Protein
Q4161316,Q4161316,Q4161316,Compound
Q19614998,Q19614998,Q19614998,Compound
Q1811789,Q1811789,yttrium(III) arsenide,Compound
Q204913,Q204913,zinc selenide,Compound
Q6025169,Q6025169,indium hydroxide,Compound
Q18211917,Q18211917,Q18211917,Compound
Q20979877,Q20979877,Q20979877,Compound
Q16704573,Q16704573,Q16704573,Compound
Q7169504,Q7169504,Peroxisome proliferator activated receptor delta,Protein
Q20986211,Q20986211,Q20986211,Compound
Q18211905,Q18211905,Q18211905,Compound
Q565672,Q565672,"Glucosidase alpha, acid",Protein
Q4096893,Q4096893,rhodium(III) bromide,Compound
Q425201,Q425201,"BCL2, apoptosis regulator",Protein
Q21173156,Q21173156,BCL2 like 1,Protein
Q18211889,Q18211889,neodymium triacetate,Compound
Q18212216,Q18212216,Q18212216,Compound
Q18204485,Q18204485,tin(IV) acetate,Compound
Q414832,Q414832,Neptunium(IV) oxide,Compound
Q415976,Q415976,Ret proto-oncogene,Protein
Q21172390,Q21172390,Kinase insert domain receptor,Protein
Q187440,Q187440,urticaria,Disease
Q4859538,Q4859538,Glutamate metabotropic receptor 2,Protein
Q12174,Q12174,Obesity,Disease
Q206690,Q206690,barium chromate,Compound
Q2346835,Q2346835,triethylgallium,Compound
Q21109359,Q21109359,5-hydroxytryptamine receptor 5A,Protein
Q1085078,Q1085078,Nuclear receptor subfamily 1 group H member 4,Protein
Q21103207,Q21103207,G protein-coupled bile acid receptor 1,Protein
Q21112690,Q21112690,Formyl peptide receptor 1,Protein
Q18555085,Q18555085,giant papillary conjunctivitis,Disease
Q4202652,Q4202652,Q4202652,Compound
Q17749533,Q17749533,Q17749533,Compound
Q4498198,Q4498198,Q4498198,Compound
Q4162549,Q4162549,Q4162549,Compound
Q18212035,Q18212035,Q18212035,Compound
Q414619,Q414619,Dicalcium phosphate,Compound
Q8059852,Q8059852,Yttrium orthovanadate,Compound
Q424481,Q424481,lithium niobate,Compound
Q16635972,Q16635972,Q16635972,Compound
Q421243,Q421243,samarium chloride,Compound
Q12199,Q12199,acquired immunodeficiency syndrome,Disease
Q18556697,Q18556697,human immunodeficiency virus infectious disease,Disease
Q16715938,Q16715938,Q16715938,Compound
Q16703007,Q16703007,Q16703007,Compound
Q4456645,Q4456645,Q4456645,Compound
Q131755,Q131755,bipolar disorder,Disease
Q2894827,Q2894827,childhood absence epilepsy,Disease
Q2895302,Q2895302,Complex partial seizure,Disease
Q4332907,Q4332907,Q4332907,Compound
Q17447352,Q17447352,neodymium oxalate,Compound
Q4332820,Q4332820,Q4332820,Compound
Q14965231,Q14965231,Q14965231,Compound
Q18086658,Q18086658,hydroxy(dioxo)niobium,Compound
Q18212030,Q18212030,Q18212030,Compound
Q15627976,Q15627976,Q15627976,Compound
Q425085,Q425085,bismuth(III) iodide,Compound
Q2983022,Q2983022,bismuth subcarbonate,Compound
Q177190,Q177190,sleep disorder,Disease
Q178436,Q178436,constipation (use to describe an act),Disease
Q943897,Q943897,gastroparesis,Disease
Q3178745,Q3178745,caesium perchlorate,Compound
Q18211634,Q18211634,Q18211634,Compound
Q79928,Q79928,acne,Disease
Q831530,Q831530,rosacea,Disease
Q15628360,Q15628360,Q15628360,Compound
Q420423,Q420423,diethylzinc,Compound
Q247096,Q247096,paracoccidioidomycosis,Disease
Q259626,Q259626,aspergillosis,Disease
Q273510,Q273510,candidiasis,Disease
Q464067,Q464067,fungal infectious disease,Disease
Q331283,Q331283,leishmaniasis,Disease
Q627368,Q627368,blastomycosis,Disease
Q627625,Q627625,histoplasmosis,Disease
Q767327,Q767327,sporotrichosis,Disease
Q868137,Q868137,coccidioidomycosis,Disease
Q977090,Q977090,vulvovaginal candidiasis,Disease
Q1435822,Q1435822,neutropenia,Disease
Q1470140,Q1470140,cryptococcosis,Disease
Q3327495,Q3327495,oral candidiasis,Disease
Q17141201,Q17141201,Tinea,Disease
Q18553212,Q18553212,cutaneous mycosis,Disease
Q1531991,Q1531991,Parkinsonian syndrome,Disease
Q18558243,Q18558243,lingual-facial-buccal dyskinesia,Disease
Q15628187,Q15628187,Q15628187,Compound
Q4596780,Q4596780,"2,4-Xylidine",Compound
Q15628319,Q15628319,Q15628319,Compound
Q220570,Q220570,pulmonary embolism,Disease
Q377978,Q377978,thrombophlebitis,Disease
Q21175110,Q21175110,Vitamin K epoxide reductase complex subunit 1,Protein
Q409173,Q409173,divanadium pentaoxide,Compound
Q5402419,Q5402419,diphenhydramine citrate,Compound
Q5446453,Q5446453,Fibroblast growth factor receptor 1,Protein
Q5446456,Q5446456,Fibroblast growth factor receptor 2,Protein
Q5446457,Q5446457,Fibroblast growth factor receptor 3,Protein
Q21102511,Q21102511,Platelet derived growth factor receptor alpha,Protein
Q21108624,Q21108624,Platelet derived growth factor receptor beta,Protein
Q21115605,Q21115605,Fms related tyrosine kinase 1,Protein
Q21118353,Q21118353,Fms related tyrosine kinase 4,Protein
Q21137668,Q21137668,Fibroblast growth factor receptor 4,Protein
Q15628130,Q15628130,nickel(II) hexacyanoferrate(II),Compound
Q15627977,Q15627977,Q15627977,Compound
Q16735997,Q16735997,dibromo(difluoro)silane,Compound
Q3415811,Q3415811,Ryanodine receptor 2,Protein
Q21118920,Q21118920,Purinergic receptor P2X 3,Protein
Q21119575,Q21119575,Purinergic receptor P2Y1,Protein
Q21121815,Q21121815,Purinergic receptor P2Y11,Protein
Q21121816,Q21121816,Purinergic receptor P2Y13,Protein
Q21138907,Q21138907,Ryanodine receptor 1,Protein
Q2332385,Q2332385,palladium(II) bromide,Compound
Q4138050,Q4138050,Q4138050,Compound
Q794086,Q794086,hypokalemia,Disease
Q410798,Q410798,Phosphodiesterase 5A,Protein
Q21117805,Q21117805,Phosphodiesterase 4A,Protein
Q21123242,Q21123242,Phosphodiesterase 4B,Protein
Q21123247,Q21123247,Phosphodiesterase 3A,Protein
Q21202200,Q21202200,Phosphodiesterase 4C,Protein
Q201180,Q201180,varicose veins,Disease
Q12204,Q12204,tuberculosis,Disease
Q18553712,Q18553712,Crohn's colitis,Disease
Q408892,Q408892,Barium oxide,Compound
Q18211918,Q18211918,Q18211918,Compound
Q18211927,Q18211927,Q18211927,Compound
Q1084878,Q1084878,Peroxisome proliferator activated receptor gamma,Protein
Q21102136,Q21102136,Retinoid X receptor beta,Protein
Q5196687,Q5196687,cutaneous T cell lymphoma,Disease
Q21118710,Q21118710,Retinoid X receptor alpha,Protein
Q21120051,Q21120051,Retinoid X receptor gamma,Protein
Q418404,Q418404,C-C motif chemokine receptor 5 (gene/pseudogene),Protein
Q407270,Q407270,barium chloride,Compound
Q15630566,Q15630566,potassium tellurate,Compound
Q422847,Q422847,calcium hydride,Compound
Q4300384,Q4300384,barium molybdate,Compound
Q675176,Q675176,Galinstan,Compound
Q2232750,Q2232750,silicon disulfide,Compound
Q133087,Q133087,gout,Disease
Q1436420,Q1436420,Xanthine dehydrogenase,Protein
Q15628106,Q15628106,iron vanadate,Compound
Q181257,Q181257,prostate cancer,Disease
Q264118,Q264118,acute myeloid leukemia,Disease
Q21108482,Q21108482,Topoisomerase (DNA) II alpha,Protein
Q11071075,Q11071075,Trace amine associated receptor 1,Protein
Q17333539,Q17333539,sodium zinc oxide,Compound
Q506659,Q506659,prostatic hypertrophy,Disease
Q4734884,Q4734884,Adrenoceptor alpha 1A,Protein
Q4734886,Q4734886,Adrenoceptor alpha 1B,Protein
Q4734887,Q4734887,Adrenoceptor alpha 1D,Protein
Q954674,Q954674,iron deficiency anemia,Disease
Q2306782,Q2306782,hypochromic anemia,Disease
Q6589190,Q6589190,Glutamate metabotropic receptor 5,Protein
Q18212064,Q18212064,Q18212064,Compound
Q202758,Q202758,hypoglycemia,Disease
Q21001751,Q21001751,mercury arsenide,Compound
Q18557946,Q18557946,choline deficiency disease,Disease
Q18211696,Q18211696,Q18211696,Compound
Q908221,Q908221,"Indoleamine 2,3-dioxygenase 1",Protein
Q4463253,Q4463253,triphenylbismuth,Compound
Q413209,Q413209,Transient receptor potential cation channel subfamily V member 1,Protein
Q7671495,Q7671495,Transient receptor potential cation channel subfamily M member 8,Protein
Q21102123,Q21102123,Calcium voltage-gated channel subunit alpha1 G,Protein
Q21102129,Q21102129,Calcium voltage-gated channel subunit alpha1 H,Protein
Q21102152,Q21102152,Calcium voltage-gated channel subunit alpha1 I,Protein
Q21103155,Q21103155,Glycine receptor alpha 1,Protein
Q21110922,Q21110922,G protein-coupled receptor 18,Protein
Q21110942,Q21110942,G protein-coupled receptor 55,Protein
Q21111879,Q21111879,Potassium voltage-gated channel subfamily A member 2,Protein
Q21119816,Q21119816,Potassium two pore domain channel subfamily K member 3,Protein
Q21119848,Q21119848,Potassium two pore domain channel subfamily K member 9,Protein
Q21150595,Q21150595,Cannabinoid receptor 2,Protein
Q21201294,Q21201294,Cannabinoid receptor 1,Protein
Q3547899,Q3547899,leg ulcers,Disease
Q4498211,Q4498211,Q4498211,Compound
Q4413567,Q4413567,barium selenide,Compound
Q419787,Q419787,Niobium pentoxide,Compound
Q15726037,Q15726037,rubidium dihydrogen phosphate,Compound
Q20986213,Q20986213,Q20986213,Compound
Q2156566,Q2156566,sodium orthovanadate,Compound
Q4134912,Q4134912,Q4134912,Compound
Q15628366,Q15628366,bismuth acetate,Compound
Q18211869,Q18211869,Q18211869,Compound
Q4138110,Q4138110,Q4138110,Compound
Q415287,Q415287,Cytochrome P450 family 19 subfamily A member 1,Protein
Q904925,Q904925,Cytochrome P450 family 11 subfamily B member 1,Protein
Q3609382,Q3609382,Cytochrome P450 family 11 subfamily B member 2,Protein
Q15628374,Q15628374,Q15628374,Compound
Q4498210,Q4498210,Q4498210,Compound
Q425236,Q425236,cadmium fluoride,Compound
Q311568,Q311568,Histamine receptor H2,Protein
Q21971328,Q21971328,(E)-ranitidine,Compound
Q425164,Q425164,rhenium diboride,Compound
Q4456632,Q4456632,Q4456632,Compound
Q4332794,Q4332794,Q4332794,Compound
Q4734891,Q4734891,Adrenoceptor alpha 2C,Protein
Q4734892,Q4734892,Adrenoceptor alpha 2A,Protein
Q4734894,Q4734894,Adrenoceptor alpha 2B,Protein
Q16635993,Q16635993,Q16635993,Compound
Q18212068,Q18212068,Q18212068,Compound
Q26207744,Q26207744,Q26207744,Compound
Q425217,Q425217,selenium hexafluoride,Compound
Q133823,Q133823,migraine,Disease
Q418796,Q418796,scandium fluoride,Compound
Q4162492,Q4162492,Q4162492,Compound
Q21174687,Q21174687,Solute carrier family 10 member 1,Protein
Q3637540,Q3637540,bekanamycin,Compound
Q21122997,Q21122997,Melatonin receptor 1B,Protein
Q21122995,Q21122995,Melatonin receptor 1A,Protein
Q21125231,Q21125231,Solute carrier organic anion transporter family member 1A2,Protein
Q21125248,Q21125248,Solute carrier organic anion transporter family member 1B3,Protein
Q21125253,Q21125253,Solute carrier organic anion transporter family member 1B1,Protein
Q21136123,Q21136123,Solute carrier organic anion transporter family member 2B1,Protein
Q2614009,Q2614009,vanadium(III) sulfate,Compound
Q26207777,Q26207777,Q26207777,Compound
Q17443531,Q17443531,dineodymium tritungsten dodecaoxide,Compound
Q3162114,Q3162114,Janus kinase 2,Protein
Q6155967,Q6155967,Janus kinase 1,Protein
Q6155969,Q6155969,Janus kinase 3,Protein
Q7861688,Q7861688,Tyrosine kinase 2,Protein
Q4789588,Q4789588,Arginine vasopressin receptor 2,Protein
Q21122109,Q21122109,Serine palmitoyltransferase long chain base subunit 2,Protein
Q21122125,Q21122125,Serine palmitoyltransferase long chain base subunit 3,Protein
Q838966,Q838966,irritable bowel syndrome,Disease
Q21110901,Q21110901,Cholecystokinin B receptor,Protein
Q18212223,Q18212223,Q18212223,Compound
Q178194,Q178194,cystic fibrosis,Disease
Q7671473,Q7671473,Transient receptor potential cation channel subfamily C member 7,Protein
Q7671497,Q7671497,Transient receptor potential cation channel subfamily V member 2,Protein
Q21102075,Q21102075,Acid sensing ion channel subunit 1,Protein
Q21102082,Q21102082,Acid sensing ion channel subunit 2,Protein
Q21102111,Q21102111,Acid sensing ion channel subunit 3,Protein
Q21123416,Q21123416,Solute carrier family 9 member A5,Protein
Q21126833,Q21126833,"Polycystin 2 like 1, transient receptor potential cation channel",Protein
Q15966013,Q15966013,Q15966013,Compound
Q19614442,Q19614442,Q19614442,Compound
Q905729,Q905729,Prostaglandin D2 receptor,Protein
Q905736,Q905736,Prostaglandin I2 (prostacyclin) receptor (IP),Protein
Q939364,Q939364,congenital heart disease,Disease
Q579527,Q579527,pulmonary valve stenosis,Disease
Q432462,Q432462,Takayasu's arteritis,Disease
Q21109971,Q21109971,Cation channel sperm associated 4,Protein
Q1126831,Q1126831,tetralogy of Fallot,Disease
Q1128595,Q1128595,pulmonary hypertension,Disease
Q1641399,Q1641399,hypoplastic left heart syndrome,Disease
Q2072063,Q2072063,patent ductus arteriosus,Disease
Q21109974,Q21109974,Cation channel sperm associated 3,Protein
Q18556468,Q18556468,vasculogenic impotence,Disease
Q21111265,Q21111265,Cation channel sperm associated 1,Protein
Q21111833,Q21111833,Cation channel sperm associated 2,Protein
Q21120420,Q21120420,Prostaglandin E receptor 1,Protein
Q21120422,Q21120422,Prostaglandin E receptor 4,Protein
Q15632856,Q15632856,Q15632856,Compound
Q16913041,Q16913041,Q16913041,Compound
Q21116946,Q21116946,Carbonic anhydrase 12,Protein
Q21132915,Q21132915,Carbonic anhydrase 7,Protein
Q21132917,Q21132917,Carbonic anhydrase 14,Protein
Q21173164,Q21173164,Carbonic anhydrase 1,Protein
Q21122433,Q21122433,Hypocretin receptor 1,Protein
Q21122435,Q21122435,Hypocretin receptor 2,Protein
Q19000444,Q19000444,neurotic disorder,Disease
Q757838,Q757838,keratitis,Disease
Q2346396,Q2346396,iritis,Disease
Q5014192,Q5014192,Casein kinase 1 epsilon,Protein
Q5014193,Q5014193,Casein kinase 1 delta,Protein
Q15628086,Q15628086,Q15628086,Compound
Q419909,Q419909,bismuth sulfide,Compound
Q18212050,Q18212050,Q18212050,Compound
Q20986790,Q20986790,Q20986790,Compound
Q205764,Q205764,endometriosis,Disease
Q16695999,Q16695999,Q16695999,Compound
Q2348776,Q2348776,niobium carbide,Compound
Q180614,Q180614,melanoma,Disease
Q681817,Q681817,squamous cell carcinoma,Disease
Q18557998,Q18557998,lymphosarcoma,Disease
Q19595872,Q19595872,Americium(II) bromide,Compound
Q3108586,Q3108586,open-angle glaucoma,Disease
Q9294051,Q9294051,ocular hypertension,Disease
Q7577496,Q7577496,spindle cell carcinoma,Disease
Q18212001,Q18212001,Q18212001,Compound
Q18212179,Q18212179,Q18212179,Compound
Q19614465,Q19614465,Q19614465,Compound
Q180152,Q180152,vitiligo,Disease
Q21135943,Q21135943,Solute carrier family 22 member 8,Protein
Q21135949,Q21135949,Solute carrier family 22 member 11,Protein
Q18212152,Q18212152,Q18212152,Compound
Q20165313,Q20165313,Q20165313,Compound
Q12125,Q12125,Common cold,Disease
Q114085,Q114085,rhinitis,Disease
Q18555301,Q18555301,facial dermatosis,Disease
Q18555313,Q18555313,hand dermatosis,Disease
Q18555307,Q18555307,leg dermatosis,Disease
Q2398308,Q2398308,Purinergic receptor P2Y12,Protein
Q3062781,Q3062781,Adenosine A1 receptor,Protein
