:START_ID,:END_ID,:TYPE
Q221668,Q415167,drug-used-for-treatment_DduftC
Q223254,Q415167,drug-used-for-treatment_DduftC
Q2085267,Q415167,drug-used-for-treatment_DduftC
Q3776920,Q415167,drug-used-for-treatment_DduftC
Q19597369,Q415167,drug-used-for-treatment_DduftC
Q15632694,Q670,has-part_ChpC
Q184559,Q2701912,drug-used-for-treatment_DduftC
Q844935,Q2701912,drug-used-for-treatment_DduftC
Q7169506,Q2701912,physically-interacts-with_PpiwC
Q18554145,Q2701912,drug-used-for-treatment_DduftC
Q49970,Q3088229,drug-used-for-treatment_DduftC
Q18212047,Q1046,has-part_ChpC
Q4063726,Q706,has-part_ChpC
Q165328,Q627499,drug-used-for-treatment_DduftC
Q1474877,Q627499,drug-used-for-treatment_DduftC
Q21121716,Q4642875,physically-interacts-with_PpiwC
Q41861,Q420644,drug-used-for-treatment_DduftC
Q420470,Q420644,physically-interacts-with_PpiwC
Q11085,Q416444,drug-used-for-treatment_DduftC
Q418781,Q416444,physically-interacts-with_PpiwC
Q190865,Q410407,instance-of_CioC
Q261261,Q925,has-part_ChpC
Q415271,Q6995920,physically-interacts-with_PpiwC
Q424401,Q6995920,physically-interacts-with_PpiwC
Q21173485,Q99374,physically-interacts-with_PpiwC
Q1949517,Q209251,physically-interacts-with_PpiwC
Q4639596,Q209251,physically-interacts-with_PpiwC
Q21108118,Q209251,physically-interacts-with_PpiwC
Q21115051,Q209251,physically-interacts-with_PpiwC
Q21115052,Q209251,physically-interacts-with_PpiwC
Q2819188,Q1317131,physically-interacts-with_PpiwC
Q21119156,Q385347,physically-interacts-with_PpiwC
Q21119157,Q385347,physically-interacts-with_PpiwC
Q420183,Q670,has-part_ChpC
Q417040,Q1096,has-part_ChpC
Q4822488,Q15633917,physically-interacts-with_PpiwC
Q4332868,Q1123,has-part_ChpC
Q544006,Q415850,drug-used-for-treatment_DduftC
Q980709,Q415850,drug-used-for-treatment_DduftC
Q18554191,Q415850,drug-used-for-treatment_DduftC
Q20986106,Q1109,has-part_ChpC
Q7671477,Q171877,physically-interacts-with_PpiwC
Q268667,Q417489,drug-used-for-treatment_DduftC
Q11085,Q420590,drug-used-for-treatment_DduftC
Q2034004,Q420590,physically-interacts-with_PpiwC
Q21110872,Q420590,physically-interacts-with_PpiwC
Q815819,Q417597,drug-used-for-treatment_DduftC
Q6589868,Q5204539,physically-interacts-with_PpiwC
Q6590408,Q5204539,physically-interacts-with_PpiwC
Q21113349,Q5204539,physically-interacts-with_PpiwC
Q182155,Q418594,drug-used-for-treatment_DduftC
Q6473911,Q418594,drug-used-for-treatment_DduftC
Q7476596,Q418594,drug-used-for-treatment_DduftC
Q18212088,Q1105,has-part_ChpC
Q18211947,Q1105,has-part_ChpC
Q4214597,Q925,has-part_ChpC
Q41861,Q5199066,drug-used-for-treatment_DduftC
Q486485,Q5199066,drug-used-for-treatment_DduftC
Q504790,Q5199066,drug-used-for-treatment_DduftC
Q1486720,Q5199066,physically-interacts-with_PpiwC
Q7553281,Q5199066,physically-interacts-with_PpiwC
Q19000661,Q5199066,drug-used-for-treatment_DduftC
Q21115961,Q5199066,physically-interacts-with_PpiwC
Q21115962,Q5199066,physically-interacts-with_PpiwC
Q21115965,Q5199066,physically-interacts-with_PpiwC
Q4463313,Q744,has-part_ChpC
Q4445865,Q1089,has-part_ChpC
Q5520260,Q6024927,physically-interacts-with_PpiwC
Q4332897,Q925,has-part_ChpC
Q4332897,Q1099,has-part_ChpC
Q15628183,Q1396,has-part_ChpC
Q128581,Q415588,drug-used-for-treatment_DduftC
Q172341,Q415588,drug-used-for-treatment_DduftC
Q372701,Q415588,drug-used-for-treatment_DduftC
Q504775,Q415588,drug-used-for-treatment_DduftC
Q549534,Q415588,drug-used-for-treatment_DduftC
Q1783924,Q415588,drug-used-for-treatment_DduftC
Q18555222,Q415588,drug-used-for-treatment_DduftC
Q18556002,Q415588,drug-used-for-treatment_DduftC
Q18556020,Q415588,drug-used-for-treatment_DduftC
Q18556569,Q415588,drug-used-for-treatment_DduftC
Q18557394,Q415588,drug-used-for-treatment_DduftC
Q411386,Q876,has-part_ChpC
Q21109363,Q260375,physically-interacts-with_PpiwC
Q5445,Q421709,drug-used-for-treatment_DduftC
Q128581,Q421709,drug-used-for-treatment_DduftC
Q416601,Q421709,physically-interacts-with_PpiwC
Q17352129,Q670,has-part_ChpC
Q21126777,Q5280143,physically-interacts-with_PpiwC
Q21126779,Q5280143,physically-interacts-with_PpiwC
Q16655234,Q670,has-part_ChpC
Q21109363,Q855557,physically-interacts-with_PpiwC
Q5629167,Q18394103,physically-interacts-with_PpiwC
Q21154358,Q18394103,physically-interacts-with_PpiwC
Q21173381,Q18394103,physically-interacts-with_PpiwC
Q21173406,Q18394103,physically-interacts-with_PpiwC
Q288797,Q4596904,physically-interacts-with_PpiwC
Q21108125,Q4596904,physically-interacts-with_PpiwC
Q21115046,Q4596904,physically-interacts-with_PpiwC
Q21115051,Q4596904,physically-interacts-with_PpiwC
Q21115052,Q4596904,physically-interacts-with_PpiwC
Q15628235,Q1843,has-part_ChpC
Q18211949,Q1105,has-part_ChpC
Q4445877,Q737,has-part_ChpC
Q41861,Q422185,drug-used-for-treatment_DduftC
Q128861,Q422185,physically-interacts-with_PpiwC
Q187255,Q422185,drug-used-for-treatment_DduftC
Q486485,Q422185,drug-used-for-treatment_DduftC
Q1641132,Q422185,drug-used-for-treatment_DduftC
Q790971,Q422185,drug-used-for-treatment_DduftC
Q19000661,Q422185,drug-used-for-treatment_DduftC
Q5629167,Q905901,physically-interacts-with_PpiwC
Q5773155,Q905901,physically-interacts-with_PpiwC
Q5773160,Q905901,physically-interacts-with_PpiwC
Q21140676,Q905901,physically-interacts-with_PpiwC
Q21154358,Q905901,physically-interacts-with_PpiwC
Q21157551,Q905901,physically-interacts-with_PpiwC
Q21173381,Q905901,physically-interacts-with_PpiwC
Q21173406,Q905901,physically-interacts-with_PpiwC
Q21173427,Q905901,physically-interacts-with_PpiwC
Q16524834,Q670,has-part_ChpC
Q2844056,Q416225,physically-interacts-with_PpiwC
Q4847900,Q416225,physically-interacts-with_PpiwC
Q4847907,Q416225,physically-interacts-with_PpiwC
Q4847910,Q416225,physically-interacts-with_PpiwC
Q18211944,Q1105,has-part_ChpC
Q416649,Q925,has-part_ChpC
Q1969116,Q1091,has-part_ChpC
Q41112,Q4673284,drug-used-for-treatment_DduftC
Q2157462,Q4673284,drug-used-for-treatment_DduftC
Q1949517,Q7577785,physically-interacts-with_PpiwC
Q4639596,Q7577785,physically-interacts-with_PpiwC
Q21108118,Q7577785,physically-interacts-with_PpiwC
Q21130460,Q4884554,physically-interacts-with_PpiwC
Q219037,Q670,has-part_ChpC
Q208414,Q418011,drug-used-for-treatment_DduftC
Q1891209,Q418011,drug-used-for-treatment_DduftC
Q18557991,Q418011,drug-used-for-treatment_DduftC
Q418011,Q21905941,instance-of_CioC
Q2844056,Q6850472,physically-interacts-with_PpiwC
Q4847900,Q6850472,physically-interacts-with_PpiwC
Q4847907,Q6850472,physically-interacts-with_PpiwC
Q12746120,Q6850472,physically-interacts-with_PpiwC
Q18211728,Q876,has-part_ChpC
Q36956,Q418611,drug-used-for-treatment_DduftC
Q1526459,Q418611,drug-used-for-treatment_DduftC
Q4944687,Q418611,drug-used-for-treatment_DduftC
Q6527832,Q418611,drug-used-for-treatment_DduftC
Q6946984,Q418611,drug-used-for-treatment_DduftC
Q8277,Q413717,drug-used-for-treatment_DduftC
Q190564,Q413717,drug-used-for-treatment_DduftC
Q1266890,Q413717,drug-used-for-treatment_DduftC
Q1132120,Q413717,drug-used-for-treatment_DduftC
Q2000072,Q413717,drug-used-for-treatment_DduftC
Q2339038,Q413717,drug-used-for-treatment_DduftC
Q18553982,Q413717,drug-used-for-treatment_DduftC
Q18556900,Q413717,drug-used-for-treatment_DduftC
Q408470,Q1046,has-part_ChpC
Q15627955,Q1091,has-part_ChpC
Q23767,Q706,has-part_ChpC
Q165328,Q23767,drug-used-for-treatment_DduftC
Q172941,Q23767,drug-used-for-treatment_DduftC
Q223591,Q23767,drug-used-for-treatment_DduftC
Q653971,Q23767,drug-used-for-treatment_DduftC
Q736715,Q23767,drug-used-for-treatment_DduftC
Q18553940,Q23767,drug-used-for-treatment_DduftC
Q18554653,Q23767,drug-used-for-treatment_DduftC
Q18968110,Q23767,drug-used-for-treatment_DduftC
Q2331023,Q1094,has-part_ChpC
Q2663095,Q7277962,physically-interacts-with_PpiwC
Q15628087,Q1094,has-part_ChpC
Q128581,Q422232,drug-used-for-treatment_DduftC
Q29496,Q422232,drug-used-for-treatment_DduftC
Q21121086,Q422232,physically-interacts-with_PpiwC
Q21126218,Q422232,physically-interacts-with_PpiwC
Q187255,Q422232,drug-used-for-treatment_DduftC
Q189588,Q422232,drug-used-for-treatment_DduftC
Q208414,Q422232,drug-used-for-treatment_DduftC
Q324464,Q422232,drug-used-for-treatment_DduftC
Q372701,Q422232,drug-used-for-treatment_DduftC
Q549534,Q422232,drug-used-for-treatment_DduftC
Q861224,Q422232,drug-used-for-treatment_DduftC
Q1783924,Q422232,drug-used-for-treatment_DduftC
Q1891209,Q422232,drug-used-for-treatment_DduftC
Q4676432,Q422232,drug-used-for-treatment_DduftC
Q18975720,Q422232,drug-used-for-treatment_DduftC
Q18556020,Q422232,drug-used-for-treatment_DduftC
Q18975788,Q422232,drug-used-for-treatment_DduftC
Q4847900,Q5264612,physically-interacts-with_PpiwC
Q419619,Q706,has-part_ChpC
Q18212136,Q1123,has-part_ChpC
Q18212136,Q1388,has-part_ChpC
Q334655,Q20817116,drug-used-for-treatment_DduftC
Q34879,Q1453445,drug-used-for-treatment_DduftC
Q183344,Q1453445,drug-used-for-treatment_DduftC
Q186470,Q1453445,drug-used-for-treatment_DduftC
Q223254,Q1453445,drug-used-for-treatment_DduftC
Q2085267,Q1453445,drug-used-for-treatment_DduftC
Q3776920,Q1453445,drug-used-for-treatment_DduftC
Q19597369,Q1453445,drug-used-for-treatment_DduftC
Q34879,Q411447,drug-used-for-treatment_DduftC
Q101896,Q411447,drug-used-for-treatment_DduftC
Q153356,Q411447,drug-used-for-treatment_DduftC
Q221668,Q411447,drug-used-for-treatment_DduftC
Q223254,Q411447,drug-used-for-treatment_DduftC
Q246084,Q411447,drug-used-for-treatment_DduftC
Q372752,Q411447,drug-used-for-treatment_DduftC
Q680873,Q411447,drug-used-for-treatment_DduftC
Q1344812,Q411447,drug-used-for-treatment_DduftC
Q1628473,Q411447,drug-used-for-treatment_DduftC
Q18554096,Q411447,drug-used-for-treatment_DduftC
Q18555243,Q411447,drug-used-for-treatment_DduftC
Q18558195,Q411447,drug-used-for-treatment_DduftC
Q19597369,Q411447,drug-used-for-treatment_DduftC
Q26695607,Q411447,drug-used-for-treatment_DduftC
Q287958,Q4021708,physically-interacts-with_PpiwC
Q21109365,Q68566,physically-interacts-with_PpiwC
Q4445850,Q877,has-part_ChpC
Q4363460,Q706,has-part_ChpC
Q170990,Q1320691,drug-used-for-treatment_DduftC
Q15628168,Q670,has-part_ChpC
Q41861,Q421156,drug-used-for-treatment_DduftC
Q19000661,Q421156,drug-used-for-treatment_DduftC
Q17334745,Q670,has-part_ChpC
Q7673856,Q6374755,physically-interacts-with_PpiwC
Q21123087,Q6374755,physically-interacts-with_PpiwC
Q287958,Q425838,physically-interacts-with_PpiwC
Q287961,Q425838,physically-interacts-with_PpiwC
Q4897175,Q425838,physically-interacts-with_PpiwC
Q21010321,Q737,has-part_ChpC
Q288797,Q415118,physically-interacts-with_PpiwC
Q309513,Q415118,physically-interacts-with_PpiwC
Q1949517,Q415118,physically-interacts-with_PpiwC
Q21115043,Q415118,physically-interacts-with_PpiwC
Q21115046,Q415118,physically-interacts-with_PpiwC
Q415512,Q876,has-part_ChpC
Q415512,Q1094,has-part_ChpC
Q15628164,Q670,has-part_ChpC
Q4332876,Q722,has-part_ChpC
Q5512777,Q4130924,physically-interacts-with_PpiwC
Q5520260,Q4130924,physically-interacts-with_PpiwC
Q21113292,Q4130924,physically-interacts-with_PpiwC
Q21113297,Q4130924,physically-interacts-with_PpiwC
Q21113310,Q4130924,physically-interacts-with_PpiwC
Q21113313,Q4130924,physically-interacts-with_PpiwC
Q21114576,Q4130924,physically-interacts-with_PpiwC
Q21114578,Q4130924,physically-interacts-with_PpiwC
Q21114582,Q4130924,physically-interacts-with_PpiwC
Q21114585,Q4130924,physically-interacts-with_PpiwC
Q1025288,Q1091,has-part_ChpC
Q416336,Q416516,physically-interacts-with_PpiwC
Q411305,Q407350,instance-of_CioC
Q416035,Q925,has-part_ChpC
Q10369545,Q876,has-part_ChpC
Q21109218,Q3011604,physically-interacts-with_PpiwC
Q4161316,Q1112,has-part_ChpC
Q19614998,Q1089,has-part_ChpC
Q19614998,Q1100,has-part_ChpC
Q309513,Q2458673,physically-interacts-with_PpiwC
Q1811789,Q941,has-part_ChpC
Q204913,Q758,has-part_ChpC
Q204913,Q876,has-part_ChpC
Q6025169,Q1094,has-part_ChpC
Q18211917,Q1388,has-part_ChpC
Q20979877,Q737,has-part_ChpC
Q20979877,Q1112,has-part_ChpC
Q16704573,Q1123,has-part_ChpC
Q7169504,Q15409438,physically-interacts-with_PpiwC
Q20986211,Q925,has-part_ChpC
Q18211905,Q1046,has-part_ChpC
Q18211905,Q1388,has-part_ChpC
Q565672,Q15274561,physically-interacts-with_PpiwC
Q4096893,Q1087,has-part_ChpC
Q425201,Q18002993,physically-interacts-with_PpiwC
Q21173156,Q18002993,physically-interacts-with_PpiwC
Q18211889,Q1388,has-part_ChpC
Q18212216,Q1105,has-part_ChpC
Q18204485,Q1096,has-part_ChpC
Q414832,Q1105,has-part_ChpC
Q415976,Q7914515,physically-interacts-with_PpiwC
Q424401,Q7914515,physically-interacts-with_PpiwC
Q21172390,Q7914515,physically-interacts-with_PpiwC
Q19000661,Q6997373,drug-used-for-treatment_DduftC
Q187440,Q342745,drug-used-for-treatment_DduftC
Q4859538,Q5009400,physically-interacts-with_PpiwC
Q416601,Q15633976,physically-interacts-with_PpiwC
Q12174,Q2356505,drug-used-for-treatment_DduftC
Q206690,Q1112,has-part_ChpC
Q2346835,Q861,has-part_ChpC
Q288797,Q7277958,physically-interacts-with_PpiwC
Q1949517,Q7277958,physically-interacts-with_PpiwC
Q4639596,Q7277958,physically-interacts-with_PpiwC
Q21108118,Q7277958,physically-interacts-with_PpiwC
Q21109359,Q7277958,physically-interacts-with_PpiwC
Q21109363,Q7277958,physically-interacts-with_PpiwC
Q21115043,Q7277958,physically-interacts-with_PpiwC
Q21115046,Q7277958,physically-interacts-with_PpiwC
Q21109218,Q3891664,physically-interacts-with_PpiwC
Q21172390,Q3891664,physically-interacts-with_PpiwC
Q1085078,Q419028,physically-interacts-with_PpiwC
Q21103207,Q419028,physically-interacts-with_PpiwC
Q21112690,Q419028,physically-interacts-with_PpiwC
Q309513,Q3800087,physically-interacts-with_PpiwC
Q18555085,Q3800087,drug-used-for-treatment_DduftC
Q4202652,Q1094,has-part_ChpC
Q17749533,Q1105,has-part_ChpC
Q4498198,Q861,has-part_ChpC
Q4162549,Q1089,has-part_ChpC
Q18212035,Q1046,has-part_ChpC
Q414619,Q706,has-part_ChpC
Q8059852,Q722,has-part_ChpC
Q8059852,Q941,has-part_ChpC
Q424481,Q1046,has-part_ChpC
Q16635972,Q670,has-part_ChpC
Q421243,Q1819,has-part_ChpC
Q12199,Q155954,drug-used-for-treatment_DduftC
Q18556697,Q155954,drug-used-for-treatment_DduftC
Q16715938,Q670,has-part_ChpC
Q16703007,Q706,has-part_ChpC
Q4456645,Q1086,has-part_ChpC
Q131755,Q240642,drug-used-for-treatment_DduftC
Q5629167,Q240642,physically-interacts-with_PpiwC
Q2894827,Q240642,drug-used-for-treatment_DduftC
Q2895302,Q240642,drug-used-for-treatment_DduftC
Q4332907,Q737,has-part_ChpC
Q17447352,Q1388,has-part_ChpC
Q4332820,Q1094,has-part_ChpC
Q14965231,Q1396,has-part_ChpC
Q18086658,Q1046,has-part_ChpC
Q4639596,Q7388910,physically-interacts-with_PpiwC
Q21110872,Q7388910,physically-interacts-with_PpiwC
Q21115046,Q7388910,physically-interacts-with_PpiwC
Q18212030,Q876,has-part_ChpC
Q15627976,Q1091,has-part_ChpC
Q425085,Q942,has-part_ChpC
Q2983022,Q942,has-part_ChpC
Q177190,Q218842,drug-used-for-treatment_DduftC
Q5520260,Q218842,physically-interacts-with_PpiwC
Q21114578,Q218842,physically-interacts-with_PpiwC
Q21114582,Q218842,physically-interacts-with_PpiwC
Q178436,Q425295,drug-used-for-treatment_DduftC
Q223591,Q425295,drug-used-for-treatment_DduftC
Q653971,Q425295,drug-used-for-treatment_DduftC
Q943897,Q425295,drug-used-for-treatment_DduftC
Q3178745,Q1108,has-part_ChpC
Q18211634,Q722,has-part_ChpC
Q79928,Q411424,drug-used-for-treatment_DduftC
Q831530,Q411424,drug-used-for-treatment_DduftC
Q15628360,Q670,has-part_ChpC
Q420423,Q758,has-part_ChpC
Q247096,Q411229,drug-used-for-treatment_DduftC
Q259626,Q411229,drug-used-for-treatment_DduftC
Q273510,Q411229,drug-used-for-treatment_DduftC
Q464067,Q411229,drug-used-for-treatment_DduftC
Q331283,Q411229,drug-used-for-treatment_DduftC
Q627368,Q411229,drug-used-for-treatment_DduftC
Q627625,Q411229,drug-used-for-treatment_DduftC
Q767327,Q411229,drug-used-for-treatment_DduftC
Q868137,Q411229,drug-used-for-treatment_DduftC
Q977090,Q411229,drug-used-for-treatment_DduftC
Q1435822,Q411229,drug-used-for-treatment_DduftC
Q1470140,Q411229,drug-used-for-treatment_DduftC
Q3327495,Q411229,drug-used-for-treatment_DduftC
Q17141201,Q411229,drug-used-for-treatment_DduftC
Q18553212,Q411229,drug-used-for-treatment_DduftC
Q1531991,Q268997,drug-used-for-treatment_DduftC
Q18558243,Q268997,drug-used-for-treatment_DduftC
Q15628187,Q1396,has-part_ChpC
Q273510,Q411478,drug-used-for-treatment_DduftC
Q464067,Q411478,drug-used-for-treatment_DduftC
Q627368,Q411478,drug-used-for-treatment_DduftC
Q627625,Q411478,drug-used-for-treatment_DduftC
Q977090,Q411478,drug-used-for-treatment_DduftC
Q868137,Q411478,drug-used-for-treatment_DduftC
Q1470140,Q411478,drug-used-for-treatment_DduftC
Q3327495,Q411478,drug-used-for-treatment_DduftC
Q4596780,Q413719,instance-of_CioC
Q15628319,Q1119,has-part_ChpC
Q220570,Q407431,drug-used-for-treatment_DduftC
Q377978,Q407431,drug-used-for-treatment_DduftC
Q815819,Q407431,drug-used-for-treatment_DduftC
Q21175110,Q407431,physically-interacts-with_PpiwC
Q409173,Q722,has-part_ChpC
Q187440,Q420133,drug-used-for-treatment_DduftC
Q309513,Q420133,physically-interacts-with_PpiwC
Q5402419,Q413486,has-part_ChpC
Q5402419,Q1146640,has-part_ChpC
Q5446453,Q15149723,physically-interacts-with_PpiwC
Q5446456,Q15149723,physically-interacts-with_PpiwC
Q5446457,Q15149723,physically-interacts-with_PpiwC
Q21102511,Q15149723,physically-interacts-with_PpiwC
Q21108624,Q15149723,physically-interacts-with_PpiwC
Q21115605,Q15149723,physically-interacts-with_PpiwC
Q21118353,Q15149723,physically-interacts-with_PpiwC
Q21137668,Q15149723,physically-interacts-with_PpiwC
Q21172390,Q15149723,physically-interacts-with_PpiwC
Q15628130,Q744,has-part_ChpC
Q15627977,Q670,has-part_ChpC
Q15627977,Q1091,has-part_ChpC
Q16735997,Q670,has-part_ChpC
Q3415811,Q425946,physically-interacts-with_PpiwC
Q21118920,Q425946,physically-interacts-with_PpiwC
Q21119575,Q425946,physically-interacts-with_PpiwC
Q21121815,Q425946,physically-interacts-with_PpiwC
Q21121816,Q425946,physically-interacts-with_PpiwC
Q21126777,Q425946,physically-interacts-with_PpiwC
Q21138907,Q425946,physically-interacts-with_PpiwC
Q1132120,Q423538,drug-used-for-treatment_DduftC
Q2332385,Q1089,has-part_ChpC
Q4138050,Q938,has-part_ChpC
Q794086,Q419921,drug-used-for-treatment_DduftC
Q410798,Q261167,physically-interacts-with_PpiwC
Q21117805,Q261167,physically-interacts-with_PpiwC
Q21123242,Q261167,physically-interacts-with_PpiwC
Q21123247,Q261167,physically-interacts-with_PpiwC
Q21202200,Q261167,physically-interacts-with_PpiwC
Q201180,Q20817018,drug-used-for-treatment_DduftC
Q12204,Q229924,drug-used-for-treatment_DduftC
Q18553712,Q229924,drug-used-for-treatment_DduftC
Q408892,Q1112,has-part_ChpC
Q18211918,Q1388,has-part_ChpC
Q21115043,Q7314015,physically-interacts-with_PpiwC
Q18211927,Q1105,has-part_ChpC
Q1486720,Q917803,physically-interacts-with_PpiwC
Q21115961,Q917803,physically-interacts-with_PpiwC
Q21115962,Q917803,physically-interacts-with_PpiwC
Q21115965,Q917803,physically-interacts-with_PpiwC
Q1084878,Q418192,physically-interacts-with_PpiwC
Q21102136,Q418192,physically-interacts-with_PpiwC
Q5196687,Q418192,drug-used-for-treatment_DduftC
Q21118710,Q418192,physically-interacts-with_PpiwC
Q21120051,Q418192,physically-interacts-with_PpiwC
Q418404,Q3557001,physically-interacts-with_PpiwC
Q407270,Q1112,has-part_ChpC
Q15630566,Q1100,has-part_ChpC
Q422847,Q706,has-part_ChpC
Q221668,Q7636169,drug-used-for-treatment_DduftC
Q19597369,Q7636169,drug-used-for-treatment_DduftC
Q4300384,Q1053,has-part_ChpC
Q4300384,Q1112,has-part_ChpC
Q675176,Q861,has-part_ChpC
Q675176,Q1094,has-part_ChpC
Q675176,Q1096,has-part_ChpC
Q2232750,Q670,has-part_ChpC
Q41861,Q2889971,drug-used-for-treatment_DduftC
Q486485,Q2889971,drug-used-for-treatment_DduftC
Q504790,Q2889971,drug-used-for-treatment_DduftC
Q19000661,Q2889971,drug-used-for-treatment_DduftC
Q133087,Q412486,drug-used-for-treatment_DduftC
Q1436420,Q412486,physically-interacts-with_PpiwC
Q15628106,Q722,has-part_ChpC
Q8277,Q239426,drug-used-for-treatment_DduftC
Q128581,Q239426,drug-used-for-treatment_DduftC
Q181257,Q239426,drug-used-for-treatment_DduftC
Q208414,Q239426,drug-used-for-treatment_DduftC
Q264118,Q239426,drug-used-for-treatment_DduftC
Q18975788,Q239426,drug-used-for-treatment_DduftC
Q21108482,Q239426,physically-interacts-with_PpiwC
Q11071075,Q5323904,physically-interacts-with_PpiwC
Q221668,Q1639595,drug-used-for-treatment_DduftC
Q19597369,Q1639595,drug-used-for-treatment_DduftC
Q17333539,Q758,has-part_ChpC
Q41861,Q419939,drug-used-for-treatment_DduftC
Q506659,Q419939,drug-used-for-treatment_DduftC
Q4734884,Q419939,physically-interacts-with_PpiwC
Q4734886,Q419939,physically-interacts-with_PpiwC
Q4734887,Q419939,physically-interacts-with_PpiwC
Q954674,Q27105054,drug-used-for-treatment_DduftC
Q2306782,Q27105054,drug-used-for-treatment_DduftC
Q6589190,Q13566097,physically-interacts-with_PpiwC
Q18212064,Q1105,has-part_ChpC
Q1641132,Q420009,drug-used-for-treatment_DduftC
Q202758,Q420009,drug-used-for-treatment_DduftC
Q21001751,Q925,has-part_ChpC
Q18557946,Q193166,drug-used-for-treatment_DduftC
Q18211696,Q1099,has-part_ChpC
Q908221,Q414226,physically-interacts-with_PpiwC
Q4463253,Q942,has-part_ChpC
Q7673856,Q5358600,physically-interacts-with_PpiwC
Q21123087,Q5358600,physically-interacts-with_PpiwC
Q413209,Q410228,physically-interacts-with_PpiwC
Q7671495,Q410228,physically-interacts-with_PpiwC
Q21102123,Q410228,physically-interacts-with_PpiwC
Q21102129,Q410228,physically-interacts-with_PpiwC
Q21102152,Q410228,physically-interacts-with_PpiwC
Q21103155,Q410228,physically-interacts-with_PpiwC
Q21110922,Q410228,physically-interacts-with_PpiwC
Q21110942,Q410228,physically-interacts-with_PpiwC
Q21111879,Q410228,physically-interacts-with_PpiwC
Q21119816,Q410228,physically-interacts-with_PpiwC
Q21119848,Q410228,physically-interacts-with_PpiwC
Q21150595,Q410228,physically-interacts-with_PpiwC
Q21201294,Q410228,physically-interacts-with_PpiwC
Q3547899,Q2313188,drug-used-for-treatment_DduftC
Q4498211,Q1094,has-part_ChpC
Q4413567,Q876,has-part_ChpC
Q4413567,Q1112,has-part_ChpC
Q419787,Q1046,has-part_ChpC
Q7673856,Q12747348,physically-interacts-with_PpiwC
Q15726037,Q895,has-part_ChpC
Q2663095,Q2211240,physically-interacts-with_PpiwC
Q20986213,Q925,has-part_ChpC
Q2156566,Q722,has-part_ChpC
Q4134912,Q737,has-part_ChpC
Q15628366,Q942,has-part_ChpC
Q18211869,Q876,has-part_ChpC
Q4138110,Q1109,has-part_ChpC
Q415287,Q5429279,physically-interacts-with_PpiwC
Q904925,Q5429279,physically-interacts-with_PpiwC
Q3609382,Q5429279,physically-interacts-with_PpiwC
Q1949517,Q7272557,physically-interacts-with_PpiwC
Q4639596,Q7272557,physically-interacts-with_PpiwC
Q21108118,Q7272557,physically-interacts-with_PpiwC
Q21108125,Q7272557,physically-interacts-with_PpiwC
Q15628374,Q942,has-part_ChpC
Q15628374,Q1053,has-part_ChpC
Q288797,Q5514387,physically-interacts-with_PpiwC
Q1949517,Q5514387,physically-interacts-with_PpiwC
Q4639596,Q5514387,physically-interacts-with_PpiwC
Q21108118,Q5514387,physically-interacts-with_PpiwC
Q21109363,Q5514387,physically-interacts-with_PpiwC
Q21115043,Q5514387,physically-interacts-with_PpiwC
Q21115046,Q5514387,physically-interacts-with_PpiwC
Q21115051,Q5514387,physically-interacts-with_PpiwC
Q21115052,Q5514387,physically-interacts-with_PpiwC
Q4498210,Q1094,has-part_ChpC
Q246084,Q5038067,drug-used-for-treatment_DduftC
Q425236,Q1091,has-part_ChpC
